year,country,region,income,population,lifeExpectancy
1902,Papua New Guinea,East Asia & Pacific,,,
1902,Philippines,East Asia & Pacific,722.13,7609000,12.7
1902,Samoa,East Asia & Pacific,,,
1902,Singapore,East Asia & Pacific,2270.96,,
1902,Solomon Islands,East Asia & Pacific,,,
1902,Taiwan,East Asia & Pacific,974,2942000,
1902,Thailand,East Asia & Pacific,,7507000,
1902,Timor-Leste,East Asia & Pacific,,,
1902,Tokelau,East Asia & Pacific,,,
1902,Tonga,East Asia & Pacific,,,
1902,Vietnam,East Asia & Pacific,,,
1902,Vanuatu,East Asia & Pacific,,,
1903,Angola,Sub-Saharan Africa,,,
1903,Benin,Sub-Saharan Africa,,,
1903,Botswana,Sub-Saharan Africa,,,
1903,Burkina Faso,Sub-Saharan Africa,,,
1903,Burundi,Sub-Saharan Africa,,,
1903,Cameroon,Sub-Saharan Africa,,,
1903,Cape Verde,Sub-Saharan Africa,478.12,,
1903,Chad,Sub-Saharan Africa,,,
1903,Comoros,Sub-Saharan Africa,,,
1903,"Congo, Dem. Rep.",Sub-Saharan Africa,,,
1903,"Congo, Rep.",Sub-Saharan Africa,,,
1903,Cote d'Ivoire,Sub-Saharan Africa,,,
1903,Equatorial Guinea,Sub-Saharan Africa,,,
1903,Eritrea,Sub-Saharan Africa,,,
1903,Ethiopia,Sub-Saharan Africa,,,
1903,Gabon,Sub-Saharan Africa,,,
1903,Ghana,Sub-Saharan Africa,,,
1903,Guinea,Sub-Saharan Africa,,,
1903,Guinea-Bissau,Sub-Saharan Africa,,,
1903,Kenya,Sub-Saharan Africa,,,
1903,Lesotho,Sub-Saharan Africa,,,
1903,Liberia,Sub-Saharan Africa,,,
1903,Madagascar,Sub-Saharan Africa,,,
1903,Malawi,Sub-Saharan Africa,,,
1903,Mali,Sub-Saharan Africa,,,
1903,Mauritania,Sub-Saharan Africa,,,
1903,Mauritius,Sub-Saharan Africa,,,
1903,Mayotte,Sub-Saharan Africa,,,
1903,Mozambique,Sub-Saharan Africa,,,
1903,Namibia,Sub-Saharan Africa,,,
1903,Niger,Sub-Saharan Africa,,,
1903,Nigeria,Sub-Saharan Africa,,,
1903,Reunion,Sub-Saharan Africa,,,
1903,Rwanda,Sub-Saharan Africa,,,
1903,Sao Tome and Principe,Sub-Saharan Africa,,,
1903,Senegal,Sub-Saharan Africa,,,
1903,Sierra Leone,Sub-Saharan Africa,,,
1903,Somalia,Sub-Saharan Africa,,,
1903,South Africa,Sub-Saharan Africa,,,
1903,Sudan,Sub-Saharan Africa,,,
1903,Swaziland,Sub-Saharan Africa,,,
1903,Tanzania,Sub-Saharan Africa,,,
1903,Togo,Sub-Saharan Africa,,,
1903,Uganda,Sub-Saharan Africa,,,
1903,Zambia,Sub-Saharan Africa,,,
1903,Zimbabwe,Sub-Saharan Africa,,,
1903,Afghanistan,South Asia,,,
1903,Bangladesh,South Asia,750,,
1903,Bhutan,South Asia,,,
1903,India,South Asia,662,,
1903,Maldives,South Asia,,,
1903,Nepal,South Asia,,,
1903,Pakistan,South Asia,820,,
1903,Sri Lanka,South Asia,1010.89,4156000,
